quartet_title,ensemble,number,key,scale,opusnumber,movement,tempo,movements_and_keys,Smetana Quartet,Tokyo String Quartet,Budapest String Quartet,Emerson String Quartet,ID
"String Quartet No. 1 in F major, Op. 18",String Quartet,1,F,major,Op. 18/1,1,Allegro con brio,Allegro con brio (F major),0:07:17,0:09:09,0:07:15,0:08:45,n01op18-1_01
"String Quartet No. 1 in F major, Op. 18",String Quartet,1,F,major,Op. 18/1,2,Adagio affettuoso ed appassionato,Adagio affettuoso ed appasionato (D minor),0:09:53,0:08:53,0:10:02,0:08:49,n01op18-1_02
"String Quartet No. 1 in F major, Op. 18",String Quartet,1,F,major,Op. 18/1,3,Scherzo. Allegro molto,Scherzo. Allegro molto (F major),0:03:27,0:03:15,0:03:13,0:03:04,n01op18-1_03
"String Quartet No. 1 in F major, Op. 18",String Quartet,1,F,major,Op. 18/1,4,Allegro,Allegro (F major),0:06:48,0:06:17,0:06:18,0:06:12,n01op18-1_04
"String Quartet No. 2 in G major, Op. 18",String Quartet,2,G,major,Op. 18/2,1,Allegro,Allegro (G major),0:07:27,0:07:24,0:05:38,0:07:30,n02op18-2_01
"String Quartet No. 2 in G major, Op. 18",String Quartet,2,G,major,Op. 18/2,2,Adagio cantabile. Allegro. Tempo I,Adagio cantabile (C major),0:05:49,0:05:39,0:06:27,0:05:54,n02op18-2_02
"String Quartet No. 2 in G major, Op. 18",String Quartet,2,G,major,Op. 18/2,3,Scherzo - Allegro,Scherzo. Allegro (G major),0:04:40,0:04:18,0:04:03,0:04:04,n02op18-2_03
"String Quartet No. 2 in G major, Op. 18",String Quartet,2,G,major,Op. 18/2,4,Allegro molto quasi presto,"Allegro molto, quasi Presto (G major)",0:05:55,0:05:13,0:05:27,0:05:10,n02op18-2_04
"String Quartet No. 3 in D major, Op. 18",String Quartet,3,D,major,Op. 18/3,1,Allegro,Allegro (D major),0:04:50,0:07:08,0:05:40,0:07:35,n03op18-3_01
"String Quartet No. 3 in D major, Op. 18",String Quartet,3,D,major,Op. 18/3,2,Andante con moto,Andante con moto (B♭ major),0:07:21,0:06:48,0:07:40,0:07:08,n03op18-3_02
